instance,seed,1proc-1pils_objective,1proc-1pils_tuning_time,2proc-1pils_objective,2proc-1pils_tuning_time,4proc-1pils_objective,4proc-1pils_tuning_time,8proc-1pils_objective,8proc-1pils_tuning_time,16proc-1pils_objective,16proc-1pils_tuning_time,24proc-1pils_objective,24proc-1pils_tuning_time
rococoB10-011000.mps,1,18.7,4495,21.08,3520,17.1,3205,16.87,2793,18.91,2672,18.3,3000
rococoB10-011000.mps,2,17.56,4491,22.49,3522,19.47,3203,16.63,2790,17.08,2671,15.71,2999
rococoB10-011000.mps,3,16.9,4493,23.44,3525,21.13,3201,16.34,2793,20.06,2672,18.14,3000
rococoB10-011000.mps,4,19.84,4492,19.05,3525,21.2,3205,17.13,2791,16.78,2670,15.74,2999
rococoB10-011000.mps,5,18.4,4496,21.61,3525,17.64,3201,18.54,2793,18.18,2672,15.02,2999
rococoB10-011000.mps,6,20.64,4498,20.32,3525,17.67,3203,17.73,2792,20.49,2672,16.4,2999
rococoB10-011000.mps,7,17.83,4499,21.04,3522,17.36,3204,17.36,2794,16.45,2671,15.92,3000
rococoB10-011000.mps,8,,,24.18,3525,18.35,3205,18.65,2791,16.23,2673,15.81,3000
rococoB10-011000.mps,9,18.89,4493,20.37,3525,20.89,3204,21.64,2794,18.64,2672,16.89,3000
rococoB10-011000.mps,10,18.59,4498,25.12,3527,18.19,3205,17.25,2791,20.33,2672,15.81,2999
sorrell3.mps,1,24.1,4484,24.05,3827,23.55,2822,23.55,4171,21.24,5685,21.77,5258
sorrell3.mps,2,24.18,4486,23.76,3828,24.01,2821,22.68,4171,22.03,5644,21.59,5155
sorrell3.mps,3,22.21,4486,23.76,3834,23.25,2823,23.55,4171,21.52,5645,22.03,5278
sorrell3.mps,4,24.3,4486,23.57,3834,23.81,2820,23.3,4170,22.03,5645,21.57,5226
sorrell3.mps,5,29.41,4493,29.27,3828,23.88,2824,22.96,4171,23.18,5644,21.36,5270
sorrell3.mps,6,23.13,4489,23.4,3832,23.19,2824,22.81,4174,21.51,5713,22.27,5156
sorrell3.mps,7,24.21,4482,23.67,3825,23.66,2824,23.46,4171,22.26,5770,21.38,5285
sorrell3.mps,8,,,23.54,3826,23.57,2827,23.13,4170,21.9,5731,21.13,5269
sorrell3.mps,9,24.17,4490,23.53,3828,23.44,2820,23.37,4170,21.27,5645,21.33,5205
sorrell3.mps,10,23.56,4493,23.16,3829,23.45,2820,21.9,4171,21.58,5644,22.97,5228
supportcase26.mps,1,0.01,5101,11.65,4232,0.6,3619,2.07,3396,0.33,3230,0.01,3426
supportcase26.mps,2,5.13,5098,6.04,4234,0.01,3621,0.01,3396,,,0.86,3426
supportcase26.mps,3,2.74,5102,3.71,4229,4.37,3618,0.01,3395,0.63,3230,1.46,3425
supportcase26.mps,4,5.82,5095,5.04,4231,0.01,3618,0.01,3393,0.01,3231,,
supportcase26.mps,5,0.01,5101,7.23,4231,2.94,3615,1.65,3426,0.01,3230,0.01,3425
supportcase26.mps,6,4.98,5100,4.19,4229,4.94,3615,4.83,3391,1.11,3231,0.01,3427
supportcase26.mps,7,0.01,5094,5.82,4232,4.96,3614,0.43,3395,,,,
supportcase26.mps,8,,,9.44,4232,0.01,3620,3.08,3397,0.59,3231,,
supportcase26.mps,9,2.13,5102,11.53,4229,2.91,3619,2.52,3392,0.01,3230,1.64,3427
supportcase26.mps,10,2.45,5104,7.2,4226,4.98,3617,3.2,3397,0.01,3231,0.01,3425
supportcase40.mps,1,4.46,4743,4.28,3744,4.28,3618,4.39,3413,3.65,2828,3.45,3744
supportcase40.mps,2,4.54,4741,4.63,3744,3.09,3615,2.39,3415,,,2.25,3744
supportcase40.mps,3,2.83,4736,4.17,3744,3.89,3616,4.01,3412,2.45,2829,2.92,3744
supportcase40.mps,4,4.55,4738,3.07,3741,4.42,3613,3.3,3412,3.05,2831,,
supportcase40.mps,5,3.02,4736,3.78,3740,3.2,3613,3.2,3414,2.44,2827,2.37,3744
supportcase40.mps,6,2.98,4736,4.56,3741,4.46,3613,2.48,3415,2.8,2825,1.97,3744
