instance,seed,1proc-1pils_objective,1proc-1pils_tuning_time,2proc-1pils_objective,2proc-1pils_tuning_time,2proc-2pils_objective,2proc-2pils_tuning_time,4proc-1pils_objective,4proc-1pils_tuning_time,4proc-4pils_objective,4proc-4pils_tuning_time,8proc-1pils_objective,8proc-1pils_tuning_time,8proc-8pils_objective,8proc-8pils_tuning_time,16proc-1pils_objective,16proc-1pils_tuning_time,16proc-16pils_objective,16proc-16pils_tuning_time,24proc-1pils_objective,24proc-1pils_tuning_time,24proc-2pils_objective,24proc-2pils_tuning_time,24proc-3pils_objective,24proc-3pils_tuning_time,24proc-4pils_objective,24proc-4pils_tuning_time,24proc-6pils_objective,24proc-6pils_tuning_time,24proc-8pils_objective,24proc-8pils_tuning_time,24proc-12pils_objective,24proc-12pils_tuning_time,24proc-24pils_objective,24proc-24pils_tuning_time
csched007.mps,10,10.34,3991,9.25,3232,9.04,2670,9.42,3283,9.29,1290,6.31,2663,6.14,615,5.38,2967,6.51,416,6.13,3077,6.53,1762,6.05,1074,6.51,942,6.34,602,6.14,467,6.68,341,6.86,265
cvs16r128-89.mps,1,17.07,4559,17.04,3815,16.9,2440,17.78,2958,13.64,1156,17.04,2583,13.11,702,15.56,3718,16.66,376,14.61,4153,11.5,1517,14.34,1340,,,15.55,900,11.01,542,15.43,438,16.65,337
cvs16r128-89.mps,2,17.44,4853,16.62,4897,17.04,2329,15.03,2880,13.82,1509,9.7,3199,18.66,696,14.2,3214,17.94,314,16.49,3003,15.43,1980,,,,,13.36,674,16.18,498,16.95,397,17.01,255
cvs16r128-89.mps,3,16.81,3941,16.61,3143,16.85,2409,15.79,3172,15.72,1277,15.34,3808,12.39,827,16.29,2880,18.66,303,14.84,3539,15.42,1469,12.97,1042,,,17.87,538,9.18,738,16.57,428,17.42,295
cvs16r128-89.mps,4,18.23,4841,16.61,3505,18.85,2049,17.99,2684,16.85,1166,15.68,4006,16.42,706,15.09,3747,16.14,466,,,12,1708,,,13.8,917,16.8,631,16.26,540,16.4,459,16.86,305
cvs16r128-89.mps,5,15.69,4621,12.13,3995,18.18,1987,11.39,3281,15.57,1196,15.69,3990,16.67,624,10.7,2917,16.49,397,,,15.21,1948,12.62,1153,15.88,962,17.08,548,11.1,665,15.39,418,18.42,273
cvs16r128-89.mps,6,11.33,4206,9.24,3644,13.45,2510,16.85,3467,16.22,1438,14.76,3685,15.91,808,14.29,3764,16.85,354,15.77,3571,15.32,1499,12.97,996,16.03,804,15.24,598,16.67,478,9.89,470,15.57,307
cvs16r128-89.mps,7,13.02,4844,19.02,3274,16.97,2139,17,2885,18.1,1205,17.04,2999,17.72,555,15.86,3959,12.47,405,14.56,3616,17.34,1344,11.18,1219,10.17,817,11.1,755,16.48,541,11.29,503,18.12,286
cvs16r128-89.mps,8,15.7,4425,18.24,3522,11.44,2370,17.46,3379,16.95,1287,14.53,2763,18.17,594,15.93,2486,14.44,363,15.55,2735,15.43,1778,,,13.67,970,11.36,739,15.3,487,17.51,380,17,316
cvs16r128-89.mps,9,17.44,4653,10.97,4278,15.61,2641,14.95,4009,15.46,1247,14.75,3786,13.14,837,15.62,2374,16.56,374,11.77,3717,15.88,1686,15.26,1065,10.45,1176,10.12,590,16.26,530,11.77,514,18.1,275
cvs16r128-89.mps,10,16.67,4986,16.85,3396,17.84,2551,15.31,3381,13.78,1367,9.31,3264,16.95,604,15.21,2806,16.95,344,15.07,3791,11.06,1693,10.1,1500,11.13,1117,14.74,579,15.68,565,15.25,397,15.92,293
eilA101-2.mps,1,20.38,4649,14.14,3234,20.38,2239,12.89,5878,20.38,1335,14.14,3832,20.38,822,14.14,5352,14.51,518,14.26,4302,14.16,2691,14.16,1507,14.14,988,14.14,847,14.14,622,14.14,603,14.75,332
eilA101-2.mps,2,20.38,4572,13.79,3667,20.38,2726,14.16,4387,20.38,1130,14.14,3179,14.14,803,14.14,5236,14.14,440,14.14,4133,14.14,2142,,,14.14,1292,14.14,877,14.14,632,14.14,519,14.14,335
eilA101-2.mps,3,14.17,4426,15.62,4240,20.38,2269,14.14,3619,20.38,1232,14.14,5183,12.91,849,14.14,5498,14.39,549,14.14,7054,14.26,1936,14.26,1779,14.14,1176,14.14,904,14.14,678,14.14,508,20.38,381
eilA101-2.mps,4,20.38,5373,20.38,4830,20.38,2795,14.14,5355,20.23,1333,14.14,4639,12.8,685,12.91,5528,20.38,484,,,14.7,1737,,,12.8,1155,14.26,978,14.14,786,14.36,538,20.38,340
eilA101-2.mps,5,20.38,5185,20.38,4438,14.62,2387,14.26,3090,14.14,1194,14.14,5910,14.26,619,14.14,4973,14.26,387,,,14.14,2136,14.26,1706,14.14,1096,14.16,926,14.14,717,14.26,563,14.14,350
eilA101-2.mps,6,20.38,5503,14.39,5155,14.26,2202,14.57,4674,15.52,1507,14.26,4156,20.38,672,14.14,4904,16.02,465,14.13,7389,14.14,2829,14.26,1278,14.14,1199,14.2,870,14.26,661,12.91,632,14.14,340
eilA101-2.mps,7,20.38,5408,15.6,3892,20.38,2012,15.55,3969,20.38,1519,14.14,5164,20.38,766,14.14,4780,20.38,403,14.14,6632,14.14,2662,14.19,1587,14.14,1272,14.17,832,14.14,614,14.14,563,20.38,354
eilA101-2.mps,8,14.26,5406,14.14,4466,20.38,2614,14.26,4304,20.38,1576,14.26,4521,20.38,672,14.14,6540,20.38,428,14.14,5568,14.3,2632,14.14,1801,14.16,1064,13.65,799,14.14,662,14.16,496,20.38,344
eilA101-2.mps,9,20.38,5467,15.57,4773,17.2,2555,15.66,4260,20.38,1240,14.17,5203,14.26,622,14.63,6396,14.14,375,14.14,4736,14.26,2062,14.26,1492,13.65,1314,13.65,719,14.14,599,14.26,510,14.14,338
eilA101-2.mps,10,20.38,3992,20.38,3571,15.61,2067,14.14,5706,15.59,1250,14.14,4972,14.14,652,14.26,3179,14.26,414,12.91,7734,14.14,2543,14.26,1490,14.14,1006,14.14,791,14.26,584,15.61,446,14.14,362
momentum1.mps,1,11.74,4227,6,3716,11.77,2110,11.5,3100,11.72,1060,10.88,2679,11.72,555,9.22,2975,11.74,306,5.94,2582,7.6,1278,,,11.28,711,10.86,706,8.82,538,5.94,326,5.96,285
momentum1.mps,2,11.22,4826,11.78,3235,11.75,1974,11.26,2978,11.73,1152,8.31,2881,11.75,546,11.08,2786,11.74,284,10.04,2781,9.26,1321,,,10.04,763,11.38,520,8.96,468,11.73,367,11.74,234
momentum1.mps,3,11.64,4208,13.81,3831,11.72,1927,10.8,2808,11.63,1183,11.28,2675,11.74,556,7.53,3317,11.74,346,11.01,2261,11.28,1455,11.28,961,10.88,790,11.26,623,11.36,520,8.96,348,11.71,276
momentum1.mps,4,9.73,5082,11.71,3347,11.7,2480,8.96,3420,11.7,1172,10.18,2885,11.74,545,11.07,2687,11.64,326,,,11.22,1144,,,11.26,735,11.19,642,7.25,472,11,357,11.74,233
momentum1.mps,5,11.05,4911,11.74,3848,11.75,1975,11.68,2984,11.69,987,5.99,2369,11.71,525,10.06,2777,11.27,356,,,5.94,1509,11.28,1111,5.97,768,11.34,714,5.94,499,11.67,337,11.65,296
momentum1.mps,6,10.8,4097,11.22,4026,11.75,2135,11.12,3608,10.98,1153,,,11.68,538,10.03,3005,9.75,409,8,3341,7.6,1300,10.95,996,5.95,703,10.8,650,11.08,438,11.45,420,11.13,254
momentum1.mps,7,11.65,3914,11.74,4046,11.73,2030,11.14,3211,10.85,1079,9.51,2984,10.89,749,11.26,2691,11.26,304,,,9.42,1310,11.43,976,9.57,746,9.9,447,11.08,471,8.74,357,11.26,276
momentum1.mps,8,11.75,4627,11.7,2930,10.81,2227,11.25,2806,11.7,1161,11.28,2671,11.21,689,11.08,2882,10.93,375,9.78,2461,10.96,1191,11.28,920,10.03,759,11.01,468,11.26,438,5.94,349,11.07,287
momentum1.mps,9,11.75,3920,11.28,3003,11.71,1975,11.28,3500,11.69,1101,7.6,2688,9.71,702,9.4,3502,11.59,318,10.77,2052,11.28,1646,6.81,1001,11.28,621,11.53,620,11.38,499,8.82,391,11.72,233
momentum1.mps,10,11.75,4021,11.21,3608,11.84,2625,11.26,3225,11.73,1020,11.28,2464,11.26,607,11.26,2779,11.26,335,7.49,3023,11.28,1246,11.15,1055,5.94,804,8.77,551,11.26,437,10.88,316,11.26,243
mushroom-best.mps,1,16.07,5264,14.2,3826,16.55,2048,14.26,3506,12.75,1384,17.03,3297,15.18,728,14.17,4059,7.42,482,17.02,3854,0,1317,,,17.02,1126,17.64,649,11.32,805,11.34,457,12.77,307
mushroom-best.mps,2,15.14,4454,22.76,4081,17.1,2178,16.38,3804,17.09,1204,11.41,4312,17.1,586,0,2224,15.15,539,14.08,3528,14.23,1976,,,0,763,0,642,8.46,733,0,393,10.65,274
mushroom-best.mps,3,17.03,4973,21.87,3993,13.92,3028,12.77,3899,11.37,1417,14.19,3593,8.8,739,17.5,3623,8.54,430,17.04,2690,17.1,1343,8.88,1260,9.68,1062,8.76,802,8.71,564,9.7,439,11.67,305
mushroom-best.mps,4,16.77,4350,14.19,3423,18.05,2445,16.86,4092,14.14,1315,14.81,3814,17.64,647,8.31,3336,14.22,439,,,14.72,1716,,,,,16.98,734,12.28,581,11.04,543,9.99,390
