instance,k,n_params,median_obj,median_time_s,n_seeds
b1c1s1,25,5,16.48,1253,0
b1c1s1,25,5,16.33,1254,1
b1c1s1,25,5,16.32,1253,2
b1c1s1,25,5,16.32,1252,3
b1c1s1,25,5,16.48,1252,4
b1c1s1,25,5,16.56,1254,5
b1c1s1,25,5,16.32,1253,6
b1c1s1,25,5,16.33,1253,7
b1c1s1,25,5,17.47,1262,8
b1c1s1,25,5,16.33,1253,9
b1c1s1,40,5,16.51,2004,0
b1c1s1,40,5,16.32,2005,1
b1c1s1,40,5,16.32,2004,2
b1c1s1,40,5,16.74,2008,3
b1c1s1,40,5,16.36,2004,4
b1c1s1,40,5,16.32,2005,5
b1c1s1,40,5,16.36,2004,6
b1c1s1,40,5,16.32,2004,7
b1c1s1,40,5,16.48,2008,8
b1c1s1,40,5,16.32,2004,9
b1c1s1,50,5,17.96,2508,0
b1c1s1,50,5,16.36,2505,1
b1c1s1,50,5,16.32,2506,2
b1c1s1,50,5,16.44,2507,3
b1c1s1,50,5,16.32,2507,4
b1c1s1,50,5,16.32,2505,5
b1c1s1,50,5,16.44,2507,6
b1c1s1,50,5,16.47,2506,7
b1c1s1,50,5,16.32,2505,8
b1c1s1,50,5,16.33,2506,9
b1c1s1,60,5,16.19,3006,0
b1c1s1,60,5,16.32,3006,1
b1c1s1,60,5,17.17,3009,2
b1c1s1,60,5,16.32,3007,3
b1c1s1,60,5,18.14,3010,4
b1c1s1,60,5,16.41,3008,5
b1c1s1,60,5,16.32,3007,6
b1c1s1,60,5,16.48,3007,7
b1c1s1,60,5,16.32,3007,8
b1c1s1,60,5,16.38,3006,9
b1c1s1,2,10,15.34,200,0
b1c1s1,2,10,18.31,200,1
b1c1s1,2,10,18.22,200,2
b1c1s1,2,10,15.90,200,3
b1c1s1,2,10,16.98,200,4
b1c1s1,2,10,17.52,200,5
b1c1s1,2,10,20.11,200,6
b1c1s1,2,10,24.48,214,7
b1c1s1,2,10,16.42,200,8
b1c1s1,2,10,15.63,200,9
b1c1s1,5,10,15.29,500,0
b1c1s1,5,10,16.85,500,1
b1c1s1,5,10,15.77,501,2
b1c1s1,5,10,15.58,500,3
b1c1s1,5,10,16.77,500,4
b1c1s1,5,10,17.18,501,5
b1c1s1,5,10,16.34,501,6
b1c1s1,5,10,17.28,501,7
b1c1s1,5,10,18.08,501,8
b1c1s1,5,10,15.33,501,9
b1c1s1,10,10,15.53,1001,0
b1c1s1,10,10,17.52,1002,1
b1c1s1,10,10,14.48,1002,2
b1c1s1,10,10,16.05,1002,3
b1c1s1,10,10,15.21,1002,4
b1c1s1,10,10,17.18,1002,5
b1c1s1,10,10,15.07,1002,6
b1c1s1,10,10,15.00,1001,7
b1c1s1,10,10,17.28,1002,8
b1c1s1,10,10,15.17,1001,9
b1c1s1,15,10,15.53,1503,0
b1c1s1,15,10,15.31,1503,1
b1c1s1,15,10,13.43,1503,2
b1c1s1,15,10,15.58,1502,3
b1c1s1,15,10,15.17,1502,4
b1c1s1,15,10,17.09,1503,5
b1c1s1,15,10,17.03,1502,6
b1c1s1,15,10,16.65,1503,7
b1c1s1,15,10,15.15,1503,8
b1c1s1,20,10,15.58,2004,0
b1c1s1,20,10,15.28,2004,1
b1c1s1,20,10,13.89,2004,2
b1c1s1,20,10,15.58,2003,3
b1c1s1,20,10,15.15,2003,4
b1c1s1,20,10,16.97,2004,5
b1c1s1,20,10,15.46,2004,6
b1c1s1,20,10,16.72,2003,7
b1c1s1,20,10,15.31,2004,8
b1c1s1,20,10,15.17,2004,9
b1c1s1,25,10,14.26,2505,0
b1c1s1,25,10,15.61,2507,1
b1c1s1,25,10,13.15,2504,2
b1c1s1,25,10,15.82,2553,3
b1c1s1,25,10,15.25,2505,4
b1c1s1,25,10,15.17,2510,5
b1c1s1,25,10,15.12,2505,6
b1c1s1,25,10,16.06,2523,7
b1c1s1,25,10,13.74,2505,8
b1c1s1,25,10,15.13,2505,9
b1c1s1,40,10,13.28,4008,0
b1c1s1,40,10,15.36,4013,1
b1c1s1,40,10,13.12,4007,2
b1c1s1,40,10,14.48,4007,3
b1c1s1,40,10,14.06,4010,4
b1c1s1,40,10,15.28,4010,5
b1c1s1,40,10,14.06,4008,6
b1c1s1,40,10,13.90,4007,7
b1c1s1,40,10,14.23,4008,8
b1c1s1,40,10,14.59,4007,9
b1c1s1,50,10,15.73,5012,0
b1c1s1,50,10,15.87,5017,1
b1c1s1,50,10,13.15,5010,2
b1c1s1,50,10,15.12,5013,3
b1c1s1,50,10,14.37,5009,4
b1c1s1,50,10,13.39,5012,5
b1c1s1,50,10,14.73,5010,6
b1c1s1,50,10,14.19,5010,7
b1c1s1,50,10,14.19,5009,8
b1c1s1,50,10,14.01,5011,9
b1c1s1,60,10,14.46,6013,0
b1c1s1,60,10,14.55,6013,1
b1c1s1,60,10,15.73,6016,2
b1c1s1,60,10,14.12,6012,3
b1c1s1,60,10,14.15,6014,4
b1c1s1,60,10,14.23,6013,5
b1c1s1,60,10,14.23,6011,6
b1c1s1,60,10,14.19,6013,7
b1c1s1,60,10,15.30,6014,8
b1c1s1,60,10,14.23,6013,9
b1c1s1,2,20,15.99,401,0
b1c1s1,2,20,18.82,401,1
b1c1s1,2,20,18.16,400,2
b1c1s1,2,20,15.95,400,3
b1c1s1,2,20,16.75,401,4
b1c1s1,2,20,17.36,400,5
b1c1s1,2,20,18.37,401,6
b1c1s1,2,20,18.87,401,7
b1c1s1,2,20,16.28,400,8
b1c1s1,2,20,26.75,413,9
b1c1s1,5,20,16.13,1002,0
b1c1s1,5,20,15.99,1002,1
b1c1s1,5,20,16.90,1002,2
b1c1s1,5,20,15.58,1001,3
b1c1s1,5,20,16.59,1002,4
b1c1s1,5,20,16.32,1002,5
b1c1s1,5,20,16.25,1002,6
b1c1s1,5,20,15.75,1001,7
b1c1s1,5,20,16.46,1002,8
b1c1s1,10,20,15.73,2004,0
b1c1s1,10,20,16.45,2005,1
b1c1s1,10,20,16.90,2004,2
b1c1s1,10,20,13.26,2004,3
b1c1s1,10,20,13.16,2003,4
b1c1s1,10,20,14.90,2004,5
b1c1s1,10,20,16.90,2004,6
b1c1s1,10,20,15.34,2003,7
b1c1s1,10,20,15.75,2004,8
b1c1s1,10,20,13.90,2005,9
b1c1s1,15,20,15.74,3005,0
b1c1s1,15,20,16.36,3008,1
b1c1s1,15,20,16.14,3006,2
b1c1s1,15,20,13.14,3006,3
b1c1s1,15,20,13.14,3006,4
b1c1s1,15,20,15.75,3006,5
b1c1s1,15,20,14.81,3007,6
b1c1s1,15,20,15.30,3006,7
b1c1s1,15,20,15.20,3006,8
b1c1s1,15,20,16.02,3009,9
b1c1s1,20,20,15.77,4008,0
b1c1s1,20,20,16.05,4010,1
b1c1s1,20,20,16.14,4008,2
b1c1s1,20,20,15.97,4014,3
b1c1s1,20,20,13.16,4008,4
b1c1s1,20,20,13.54,4008,5
b1c1s1,20,20,14.86,4008,6
b1c1s1,20,20,15.74,4008,7
b1c1s1,20,20,16.58,4011,8
b1c1s1,25,20,15.84,5010,0
b1c1s1,25,20,15.69,5012,1
b1c1s1,25,20,15.25,5012,2
b1c1s1,25,20,15.29,5009,3
b1c1s1,25,20,15.30,5011,4
b1c1s1,25,20,15.82,5012,5
b1c1s1,25,20,16.56,5075,6
b1c1s1,25,20,16.99,5012,7
b1c1s1,25,20,14.90,5012,8
b1c1s1,25,20,15.17,5010,9
b1c1s1,40,20,13.35,8019,0
b1c1s1,40,20,14.91,8038,1
b1c1s1,40,20,14.61,8028,2
b1c1s1,40,20,15.46,8031,3
b1c1s1,40,20,14.30,8027,4
b1c1s1,40,20,13.83,8029,5
b1c1s1,40,20,14.40,8032,6
b1c1s1,40,20,14.76,8029,7
b1c1s1,40,20,14.91,8040,8
b1c1s1,40,20,14.71,8028,9
b1c1s1,50,20,13.95,10030,0
b1c1s1,50,20,14.69,10023,1
b1c1s1,50,20,14.47,10022,2
b1c1s1,50,20,14.33,10025,3
b1c1s1,50,20,12.95,10021,4
b1c1s1,50,20,14.72,10019,5
b1c1s1,50,20,14.85,10029,6
b1c1s1,50,20,13.29,10022,7
b1c1s1,50,20,13.90,10029,8
b1c1s1,50,20,15.26,10019,9
b1c1s1,60,20,13.73,12028,0
b1c1s1,60,20,13.87,12029,1
b1c1s1,60,20,14.47,12027,2
b1c1s1,60,20,15.29,12026,3
b1c1s1,60,20,15.73,12028,4
b1c1s1,60,20,13.55,12034,5
b1c1s1,60,20,13.60,12034,6
b1c1s1,60,20,16.60,12034,7
b1c1s1,60,20,13.63,12041,8
b1c1s1,60,20,16.09,12028,9
b1c1s1,2,30,15.39,602,0
b1c1s1,2,30,17.14,602,1
b1c1s1,2,30,18.04,601,2
b1c1s1,2,30,18.12,602,3
b1c1s1,2,30,16.40,601,4
b1c1s1,2,30,17.03,602,5
b1c1s1,2,30,17.03,601,6
b1c1s1,2,30,17.19,601,7
b1c1s1,2,30,16.28,601,8
b1c1s1,2,30,15.72,601,9
b1c1s1,5,30,15.12,1504,0
b1c1s1,5,30,13.36,1515,1
b1c1s1,5,30,16.96,1516,2
b1c1s1,5,30,16.69,1518,3
b1c1s1,5,30,14.66,1517,4
b1c1s1,5,30,16.78,1516,5
b1c1s1,5,30,17.38,1513,6
b1c1s1,5,30,15.63,1519,7
b1c1s1,5,30,15.21,1518,8
b1c1s1,5,30,16.61,1514,9
b1c1s1,10,30,15.29,3017,0
b1c1s1,10,30,14.45,3007,1
b1c1s1,10,30,16.47,3008,2
b1c1s1,10,30,13.38,3009,3
b1c1s1,10,30,13.75,3007,4
b1c1s1,10,30,16.78,3007,5
b1c1s1,10,30,14.93,3006,6
b1c1s1,10,30,14.95,3008,7
b1c1s1,10,30,15.75,3007,8
b1c1s1,10,30,15.48,3008,9
b1c1s1,15,30,14.77,4511,0
b1c1s1,15,30,15.93,4509,1
b1c1s1,15,30,15.22,4511,2
b1c1s1,15,30,14.59,4514,3
b1c1s1,15,30,12.82,4512,4
b1c1s1,15,30,15.88,4510,5
b1c1s1,15,30,16.92,4508,6
b1c1s1,15,30,14.46,4511,7
b1c1s1,15,30,15.21,4510,8
b1c1s1,15,30,14.40,4510,9
b1c1s1,20,30,13.94,6014,0
b1c1s1,20,30,15.93,6012,1
b1c1s1,20,30,15.32,6015,2
b1c1s1,20,30,13.92,6016,3
b1c1s1,20,30,12.82,6015,4
b1c1s1,20,30,16.78,6012,5
b1c1s1,20,30,16.46,6013,6
b1c1s1,20,30,14.17,6013,7
b1c1s1,20,30,14.98,6012,8
b1c1s1,20,30,15.92,6020,9
b1c1s1,25,30,14.18,7530,0
b1c1s1,25,30,15.53,7523,1
b1c1s1,25,30,17.31,7526,2
b1c1s1,25,30,18.17,7543,3
b1c1s1,25,30,13.28,7518,4
b1c1s1,25,30,17.27,7530,5
b1c1s1,25,30,17.53,7517,6
b1c1s1,25,30,17.72,7535,7
b1c1s1,25,30,16.34,7524,8
b1c1s1,25,30,15.42,7515,9
b1c1s1,30,30,14.78,9034,0
b1c1s1,30,30,13.96,9019,1
b1c1s1,30,30,15.00,9022,2
b1c1s1,30,30,14.66,9022,3
b1c1s1,30,30,12.82,9021,4
b1c1s1,30,30,15.14,9021,5
b1c1s1,30,30,14.81,9023,6
b1c1s1,30,30,14.41,9017,7
b1c1s1,30,30,14.18,9022,8
b1c1s1,30,30,14.70,9020,9
b1c1s1,2,40,15.92,802,0
b1c1s1,2,40,17.11,802,1
b1c1s1,2,40,16.44,802,2
b1c1s1,2,40,16.54,802,3
b1c1s1,2,40,14.17,803,4
b1c1s1,2,40,17.48,802,5
b1c1s1,2,40,14.50,802,6
b1c1s1,2,40,16.67,804,7
b1c1s1,2,40,16.28,802,8
b1c1s1,2,40,17.06,802,9
b1c1s1,5,40,15.83,2007,0
b1c1s1,5,40,15.85,2005,1
b1c1s1,5,40,16.10,2019,2
b1c1s1,5,40,15.09,2020,3
b1c1s1,5,40,15.28,2022,4
b1c1s1,5,40,14.32,2015,5
b1c1s1,5,40,15.24,2005,6
b1c1s1,5,40,17.17,2007,7
b1c1s1,5,40,13.41,2004,8
b1c1s1,5,40,15.42,2006,9
b1c1s1,10,40,16.07,4023,0
b1c1s1,10,40,15.36,4010,1
b1c1s1,10,40,15.39,4011,2
b1c1s1,10,40,15.69,4009,3
b1c1s1,10,40,15.36,4009,4
b1c1s1,10,40,14.07,4009,5
b1c1s1,10,40,15.04,4011,6
b1c1s1,10,40,14.69,4011,7
b1c1s1,10,40,14.02,4011,8
b1c1s1,10,40,13.79,4011,9
b1c1s1,15,40,15.54,6031,0
b1c1s1,15,40,13.86,6016,1
b1c1s1,15,40,12.46,6013,2
b1c1s1,15,40,16.27,6021,3
b1c1s1,15,40,13.95,6014,4
b1c1s1,15,40,13.60,6014,5
b1c1s1,15,40,15.17,6016,6
b1c1s1,15,40,14.14,6018,7
b1c1s1,15,40,14.76,6017,8
b1c1s1,15,40,13.97,6015,9
b1c1s1,20,40,13.78,8033,0
b1c1s1,20,40,13.86,8022,1
b1c1s1,20,40,14.27,8023,2
b1c1s1,20,40,15.19,8025,3
b1c1s1,20,40,12.64,8018,4
b1c1s1,20,40,15.81,8017,5
b1c1s1,20,40,14.79,8027,6
b1c1s1,20,40,13.92,8026,7
b1c1s1,20,40,15.19,8022,8
b1c1s1,20,40,13.95,8019,9
cost266-UUE,2,5,7.99,100,0
cost266-UUE,2,5,7.63,100,1
cost266-UUE,2,5,6.47,100,2
cost266-UUE,2,5,6.85,100,3
cost266-UUE,2,5,7.34,100,4
cost266-UUE,2,5,6.52,100,5
cost266-UUE,2,5,7.76,100,6
cost266-UUE,2,5,7.82,100,7
cost266-UUE,2,5,6.66,100,8
cost266-UUE,2,5,7.63,100,9
cost266-UUE,5,5,6.78,250,0
cost266-UUE,5,5,6.66,250,1
cost266-UUE,5,5,6.43,250,2
cost266-UUE,5,5,6.17,250,3
cost266-UUE,5,5,6.89,250,4
cost266-UUE,5,5,6.52,250,5
cost266-UUE,5,5,6.17,250,6
cost266-UUE,5,5,6.17,250,7
cost266-UUE,5,5,6.66,250,8
cost266-UUE,5,5,6.66,250,9
cost266-UUE,10,5,6.09,501,0
cost266-UUE,10,5,6.17,501,1
cost266-UUE,10,5,6.17,501,2
cost266-UUE,10,5,6.17,501,3
cost266-UUE,10,5,6.66,501,4
cost266-UUE,10,5,6.52,501,5
cost266-UUE,10,5,6.74,501,6
cost266-UUE,10,5,6.17,501,7
cost266-UUE,10,5,6.66,501,8
cost266-UUE,10,5,6.17,501,9
cost266-UUE,15,5,6.06,751,0
cost266-UUE,15,5,6.19,751,1
cost266-UUE,15,5,6.17,751,2
cost266-UUE,15,5,6.38,752,3
cost266-UUE,15,5,6.19,751,4
cost266-UUE,15,5,6.42,751,5
cost266-UUE,15,5,6.17,752,6
cost266-UUE,15,5,6.21,751,7
cost266-UUE,15,5,6.36,752,8
cost266-UUE,15,5,6.51,752,9
cost266-UUE,20,5,6.06,1002,0
cost266-UUE,20,5,6.38,1002,1
cost266-UUE,20,5,6.17,1002,2
cost266-UUE,20,5,6.38,1002,3
cost266-UUE,20,5,6.36,1002,4
cost266-UUE,20,5,6.27,1002,5
cost266-UUE,20,5,6.36,1002,6
cost266-UUE,20,5,6.14,1002,7
cost266-UUE,20,5,6.54,1002,8
cost266-UUE,20,5,6.27,1002,9
cost266-UUE,25,5,6.36,1253,0
cost266-UUE,25,5,6.62,1255,1
cost266-UUE,25,5,6.17,1253,2
cost266-UUE,25,5,6.09,1253,3
cost266-UUE,25,5,6.17,1253,4
cost266-UUE,25,5,6.51,1254,5
cost266-UUE,25,5,6.36,1253,6
cost266-UUE,25,5,6.36,1253,7
cost266-UUE,25,5,7.34,1261,8
cost266-UUE,25,5,6.19,1253,9
cost266-UUE,40,5,6.14,2005,0
cost266-UUE,40,5,6.53,2007,1
cost266-UUE,40,5,6.09,2005,2
cost266-UUE,40,5,6.83,2007,3
cost266-UUE,40,5,6.17,2005,4
cost266-UUE,40,5,6.17,2005,5
cost266-UUE,40,5,6.36,2005,6
cost266-UUE,40,5,6.17,2005,7
cost266-UUE,40,5,6.99,2008,8
cost266-UUE,40,5,6.17,2005,9
cost266-UUE,50,5,7.84,2513,0
cost266-UUE,50,5,6.06,2506,1
cost266-UUE,50,5,6.19,2507,2
cost266-UUE,50,5,6.64,2509,3
cost266-UUE,50,5,6.36,2508,4
cost266-UUE,50,5,6.06,2507,5
cost266-UUE,50,5,6.89,2509,6
cost266-UUE,50,5,6.17,2506,7
cost266-UUE,50,5,6.17,2507,8
cost266-UUE,50,5,6.48,2508,9
cost266-UUE,60,5,6.03,3007,0
cost266-UUE,60,5,6.06,3007,1
cost266-UUE,60,5,7.13,3012,2
cost266-UUE,60,5,6.30,3009,3
cost266-UUE,60,5,7.52,3013,4
cost266-UUE,60,5,6.32,3009,5
cost266-UUE,60,5,6.17,3010,6
cost266-UUE,60,5,6.06,3010,7
cost266-UUE,60,5,6.17,3008,8
cost266-UUE,60,5,6.09,3008,9
cost266-UUE,2,10,4.61,200,0
cost266-UUE,2,10,5.98,200,1
cost266-UUE,2,10,7.42,200,2
cost266-UUE,2,10,6.54,200,3
cost266-UUE,2,10,5.96,200,4
cost266-UUE,2,10,6.47,200,5
cost266-UUE,2,10,7.17,200,6
cost266-UUE,2,10,9.77,204,7
cost266-UUE,2,10,8.13,200,8
cost266-UUE,2,10,6.13,200,9
cost266-UUE,5,10,6.72,501,0
cost266-UUE,5,10,4.76,501,1
cost266-UUE,5,10,6.14,501,2
cost266-UUE,5,10,5.59,501,3
cost266-UUE,5,10,5.26,501,4
cost266-UUE,5,10,5.52,501,5
cost266-UUE,5,10,5.56,501,6
cost266-UUE,5,10,6.32,501,7
cost266-UUE,5,10,6.33,501,8
cost266-UUE,5,10,6.07,502,9
cost266-UUE,10,10,4.65,1002,0
cost266-UUE,10,10,4.76,1003,1
cost266-UUE,10,10,5.20,1002,2
cost266-UUE,10,10,5.73,1003,3
cost266-UUE,10,10,5.55,1002,4
cost266-UUE,10,10,4.66,1002,5
cost266-UUE,10,10,5.44,1002,6
cost266-UUE,10,10,4.59,1002,7
cost266-UUE,10,10,6.42,1002,8
cost266-UUE,10,10,4.76,1002,9
cost266-UUE,15,10,5.21,1503,0
cost266-UUE,15,10,4.76,1504,1
cost266-UUE,15,10,4.41,1503,2
cost266-UUE,15,10,4.36,1503,3
cost266-UUE,15,10,4.36,1503,4
cost266-UUE,15,10,4.66,1503,5
cost266-UUE,15,10,6.22,1503,6
cost266-UUE,15,10,6.07,1503,7
cost266-UUE,15,10,4.37,1504,8
cost266-UUE,15,10,5.30,1503,9
cost266-UUE,20,10,4.76,2005,0
cost266-UUE,20,10,4.63,2005,1
cost266-UUE,20,10,5.20,2004,2
cost266-UUE,20,10,4.12,2005,3
cost266-UUE,20,10,4.36,2004,4
cost266-UUE,20,10,4.65,2005,5
cost266-UUE,20,10,4.69,2006,6
cost266-UUE,20,10,5.85,2004,7
cost266-UUE,20,10,5.28,2006,8
cost266-UUE,20,10,4.76,2005,9
cost266-UUE,25,10,4.20,2506,0
cost266-UUE,25,10,4.76,2508,1
cost266-UUE,25,10,4.36,2506,2
cost266-UUE,25,10,5.61,2507,3
cost266-UUE,25,10,4.76,2506,4
cost266-UUE,25,10,4.36,2508,5
cost266-UUE,25,10,5.46,2506,6
cost266-UUE,25,10,5.29,2541,7
cost266-UUE,25,10,4.06,2506,8
cost266-UUE,25,10,4.41,2506,9
cost266-UUE,40,10,4.36,4010,0
cost266-UUE,40,10,4.39,4013,1
cost266-UUE,40,10,4.00,4009,2
cost266-UUE,40,10,4.36,4010,3
cost266-UUE,40,10,5.14,4010,4
cost266-UUE,40,10,4.66,4011,5
cost266-UUE,40,10,4.94,4011,6
cost266-UUE,40,10,4.36,4009,7
cost266-UUE,40,10,5.31,4010,8
cost266-UUE,40,10,4.06,4010,9
cost266-UUE,50,10,4.76,5015,0
cost266-UUE,50,10,7.85,5022,1
cost266-UUE,50,10,4.33,5012,2
cost266-UUE,50,10,4.76,5019,3
cost266-UUE,50,10,4.36,5012,4
cost266-UUE,50,10,4.20,5012,5
cost266-UUE,50,10,4.58,5011,6
cost266-UUE,50,10,4.58,5012,7
cost266-UUE,50,10,4.06,5011,8
cost266-UUE,50,10,5.44,5013,9
cost266-UUE,60,10,5.31,6015,0
cost266-UUE,60,10,4.76,6017,1
cost266-UUE,60,10,5.37,6019,2
cost266-UUE,60,10,4.04,6014,3
cost266-UUE,60,10,4.37,6017,4
cost266-UUE,60,10,4.66,6031,5
cost266-UUE,60,10,4.36,6014,6
cost266-UUE,60,10,4.81,6051,7
cost266-UUE,60,10,4.68,6016,8
cost266-UUE,60,10,4.76,6048,9
cost266-UUE,2,20,7.95,401,0
cost266-UUE,2,20,6.57,401,1
cost266-UUE,2,20,6.06,401,2
cost266-UUE,2,20,5.24,401,3
cost266-UUE,2,20,6.50,401,4
cost266-UUE,2,20,6.14,401,5
cost266-UUE,2,20,6.51,401,6
cost266-UUE,2,20,7.01,401,7
cost266-UUE,2,20,6.03,401,8
cost266-UUE,2,20,13.67,412,9
cost266-UUE,5,20,6.11,1003,0
cost266-UUE,5,20,5.25,1003,1
cost266-UUE,5,20,5.77,1002,2
cost266-UUE,5,20,5.10,1002,3
cost266-UUE,5,20,6.15,1002,4
cost266-UUE,5,20,5.57,1002,5
cost266-UUE,5,20,6.39,1003,6
cost266-UUE,5,20,5.36,1003,7
cost266-UUE,5,20,5.92,1003,8
cost266-UUE,5,20,6.36,1003,9
cost266-UUE,10,20,5.22,2005,0
cost266-UUE,10,20,5.02,2006,1
cost266-UUE,10,20,4.97,2004,2
cost266-UUE,10,20,4.66,2005,3
cost266-UUE,10,20,4.58,2005,4
cost266-UUE,10,20,5.71,2004,5
cost266-UUE,10,20,6.17,2005,6
cost266-UUE,10,20,5.39,2005,7
cost266-UUE,10,20,5.08,2005,8
cost266-UUE,10,20,5.21,2006,9
cost266-UUE,15,20,5.11,3008,0
cost266-UUE,15,20,6.90,3009,1
cost266-UUE,15,20,5.06,3007,2
cost266-UUE,15,20,4.64,3008,3
cost266-UUE,15,20,6.15,3007,4
cost266-UUE,15,20,5.45,3007,5
cost266-UUE,15,20,5.11,3008,6
cost266-UUE,15,20,5.35,3009,7
cost266-UUE,15,20,5.19,3008,8
cost266-UUE,15,20,5.41,3013,9
cost266-UUE,20,20,6.32,4011,0
cost266-UUE,20,20,5.44,4013,1
cost266-UUE,20,20,5.75,4011,2
cost266-UUE,20,20,5.31,4015,3
cost266-UUE,20,20,6.15,4010,4
cost266-UUE,20,20,5.51,4010,5
cost266-UUE,20,20,4.97,4011,6
cost266-UUE,20,20,5.13,4009,7
cost266-UUE,20,20,5.45,4019,8
cost266-UUE,25,20,4.98,5014,0
cost266-UUE,25,20,5.01,5015,1
cost266-UUE,25,20,5.49,5014,2
cost266-UUE,25,20,5.03,5012,3
cost266-UUE,25,20,6.44,5014,4
cost266-UUE,25,20,5.34,5012,5
cost266-UUE,25,20,4.90,5032,6
cost266-UUE,25,20,5.06,5013,7
cost266-UUE,25,20,5.18,5014,8
cost266-UUE,25,20,5.13,5014,9
cost266-UUE,40,20,5.02,8026,0
cost266-UUE,40,20,5.21,8026,1
cost266-UUE,40,20,4.27,8029,2
cost266-UUE,40,20,5.38,8024,3
cost266-UUE,40,20,5.67,8027,4
cost266-UUE,40,20,4.64,8020,5
cost266-UUE,40,20,5.26,8025,6
cost266-UUE,40,20,5.50,8028,7
cost266-UUE,40,20,7.04,8031,8
cost266-UUE,40,20,4.95,8021,9
cost266-UUE,50,20,4.88,10030,0
cost266-UUE,50,20,4.64,10026,1
cost266-UUE,50,20,4.88,10026,2
cost266-UUE,50,20,4.70,10028,3
cost266-UUE,50,20,4.78,10025,4
cost266-UUE,50,20,5.16,10025,5
cost266-UUE,50,20,4.82,10027,6
cost266-UUE,50,20,5.09,10027,7
cost266-UUE,50,20,5.06,10032,8
cost266-UUE,50,20,5.00,10025,9
cost266-UUE,2,30,7.25,602,0
cost266-UUE,2,30,5.64,602,1
cost266-UUE,2,30,7.03,602,2
cost266-UUE,2,30,6.36,602,3
cost266-UUE,2,30,6.70,601,4
cost266-UUE,2,30,7.29,602,5
cost266-UUE,2,30,7.35,601,6
cost266-UUE,2,30,5.40,602,7
cost266-UUE,2,30,6.42,602,8
cost266-UUE,2,30,5.42,602,9
cost266-UUE,5,30,5.38,1504,0
cost266-UUE,5,30,5.51,1505,1
cost266-UUE,5,30,4.94,1505,2
cost266-UUE,5,30,7.27,1504,3
cost266-UUE,5,30,6.73,1504,4
cost266-UUE,5,30,6.60,1504,5
cost266-UUE,5,30,5.76,1504,6
cost266-UUE,5,30,5.70,1504,7
cost266-UUE,5,30,4.66,1505,8
cost266-UUE,5,30,6.65,1505,9
cost266-UUE,10,30,5.03,3011,0
cost266-UUE,10,30,4.41,3008,1
cost266-UUE,10,30,6.73,3008,2
cost266-UUE,10,30,4.33,3009,3
cost266-UUE,10,30,5.45,3008,4
cost266-UUE,10,30,6.51,3009,5
cost266-UUE,10,30,5.04,3008,6
cost266-UUE,10,30,5.19,3008,7
cost266-UUE,10,30,4.62,3009,8
cost266-UUE,10,30,5.98,3009,9
cost266-UUE,15,30,5.50,4513,0
cost266-UUE,15,30,3.69,4511,1
cost266-UUE,15,30,4.51,4513,2
cost266-UUE,15,30,4.72,4513,3
cost266-UUE,15,30,5.09,4512,4
cost266-UUE,15,30,4.66,4512,5
cost266-UUE,15,30,5.50,4511,6
cost266-UUE,15,30,4.96,4513,7
cost266-UUE,15,30,4.08,4510,8
cost266-UUE,15,30,4.66,4514,9
cost266-UUE,20,30,4.73,6017,0
cost266-UUE,20,30,3.88,6014,1
cost266-UUE,20,30,4.80,6020,2
cost266-UUE,20,30,4.49,6017,3
